ds,temp_mean,temp_min,temp_max,precip
1974-08-08 18:30:00,21.230947,15.885375,26.060375,0.54999995
1974-08-09 18:30:00,22.041885,17.997875,26.266624,1.2
1974-08-10 18:30:00,21.8885,18.491625,25.410376,4.7125006
1974-08-11 18:30:00,21.181728,17.497875,25.360374,12.0625
1974-08-12 18:30:00,20.785376,17.879126,24.516624,9.2375
1974-08-13 18:30:00,20.155949,17.147875,24.160376,9.7625
1974-08-14 18:30:00,18.434332,15.872875,21.554125,12.687501
1974-08-15 18:30:00,18.771833,13.060375,23.291626,2.4125
1974-08-16 18:30:00,19.785376,13.335375,25.254124,0.25
1974-08-17 18:30:00,20.135376,14.347875,25.885376,2.9125
1974-08-18 18:30:00,20.12027,14.697875,25.254124,2.55
1974-08-19 18:30:00,19.911938,15.291625,24.154125,3.6499999
1974-08-20 18:30:00,20.068447,15.091625,24.891624,3.5625
1974-08-21 18:30:00,20.242928,15.504126,24.810375,1.3874999
1974-08-22 18:30:00,20.633553,16.029125,25.385374,1.6999999
1974-08-23 18:30:00,20.777042,14.016625,25.960375,0.65000004
1974-08-24 18:30:00,21.015322,15.622875,26.297874,0.9375
1974-08-25 18:30:00,20.836678,15.329125,25.666624,1.0
1974-08-26 18:30:00,20.798916,15.679125,25.616625,0.28750002
1974-08-27 18:30:00,20.733551,14.791625,25.866625,0.0125
1974-08-28 18:30:00,20.977564,14.597876,26.347876,0.0
1974-08-29 18:30:00,19.878344,14.091625,25.272875,1.375
1974-08-30 18:30:00,19.18876,15.022875,23.516624,4.6125
1974-08-31 18:30:00,18.285635,13.485375,23.154125,8.3125
1974-09-01 18:30:00,17.809334,13.154125,23.460375,6.6874995
1974-09-02 18:30:00,18.023134,13.079125,23.097874,1.7250001
1974-09-03 18:30:00,18.539019,12.129126,24.172874,0.20000002
1974-09-04 18:30:00,19.045792,12.035375,24.960375,0.0375
1974-09-05 18:30:00,19.380949,13.266625,24.904125,0.5375
1974-09-06 18:30:00,19.328604,13.360375,25.104124,0.5625
1974-09-07 18:30:00,18.908552,12.685375,24.554125,0.68750006
1974-09-08 18:30:00,18.55621,13.147875,24.010376,0.8875
1974-09-09 18:30:00,17.427301,12.904125,22.241625,2.6125
1974-09-10 18:30:00,17.410114,11.735375,22.647875,1.9375001
1974-09-11 18:30:00,17.705688,11.266625,23.435375,0.88750005
1974-09-12 18:30:00,18.187717,10.841625,24.629124,0.0
1974-09-13 18:30:00,18.942928,11.997875,25.247875,0.0125
1974-09-14 18:30:00,18.525219,12.104125,24.197874,0.2
1974-09-15 18:30:00,17.451,12.060375,23.016624,1.6875
1974-09-16 18:30:00,16.756208,11.260375,22.254124,2.3625
1974-09-17 18:30:00,16.989021,10.179125,22.985374,0.2625
1974-09-18 18:30:00,17.802563,11.510375,23.497875,0.375
1974-09-19 18:30:00,17.668968,12.160375,23.129126,0.3875
1974-09-20 18:30:00,18.016104,11.722876,23.797874,0.2625
1974-09-21 18:30:00,18.789282,12.291625,24.654125,0.0625
1974-09-22 18:30:00,18.622355,12.285376,24.035376,0.92499995
1974-09-23 18:30:00,17.934074,12.716625,22.635374,0.90000004
1974-09-24 18:30:00,17.470793,12.604125,21.672874,1.2624999
1974-09-25 18:30:00,16.284073,11.641625,20.554125,2.3625
1974-09-26 18:30:00,15.66272,10.472876,20.854126,5.8250003
1974-09-27 18:30:00,15.192926,11.010375,19.960375,5.9749994
1974-09-28 18:30:00,14.647354,9.060375,20.304125,1.025
1974-09-29 18:30:00,13.049958,8.429125,17.654125,2.0874999
1974-09-30 18:30:00,13.580167,7.460375,19.566624,0.2
1974-10-01 18:30:00,13.290063,6.285375,19.847876,0.087500006
1974-10-02 18:30:00,13.655167,6.022875,20.779125,0.0125
1974-10-03 18:30:00,13.977562,5.729125,21.616625,0.0
1974-10-04 18:30:00,14.60725,6.660375,22.154125,0.0
1974-10-05 18:30:00,14.940844,7.4603753,21.954124,0.075
1974-10-06 18:30:00,14.664542,7.479125,21.529125,0.025
1974-10-07 18:30:00,14.712979,7.460375,21.566626,0.17500001
1974-10-08 18:30:00,14.885374,7.766625,21.429125,0.3375
1974-10-09 18:30:00,15.159854,8.422874,21.635374,0.0875
1974-10-10 18:30:00,15.345531,8.454125,22.041624,0.375
1974-10-11 18:30:00,15.386677,8.279125,22.079124,0.2125
1974-10-12 18:30:00,15.212719,7.954125,21.822874,0.087500006
1974-10-13 18:30:00,15.219229,8.441625,21.891624,0.49999997
1974-10-14 18:30:00,14.611416,9.197875,20.829124,1.6374999
1974-10-15 18:30:00,13.78277,7.6291246,20.310375,0.625
1974-10-16 18:30:00,14.206469,6.022875,22.054125,0.0
1974-10-17 18:30:00,15.533552,7.785375,22.691626,0.0
1974-10-18 18:30:00,17.004387,11.179125,23.241625,0.0
1974-10-19 18:30:00,15.422354,10.266624,20.191626,2.8625
1974-10-20 18:30:00,13.891886,9.072875,19.179125,6.3999996
1974-10-21 18:30:00,12.7681875,6.566625,19.197874,0.275
1974-10-22 18:30:00,12.167927,5.760375,18.647875,0.025
1974-10-23 18:30:00,11.202562,5.535375,17.185375,0.22500001
1974-10-24 18:30:00,10.951522,4.460375,17.766624,0.0125
1974-10-25 18:30:00,10.5135,3.0041246,17.872875,0.0
1974-10-26 18:30:00,10.710896,3.5978749,17.922874,0.0
1974-10-27 18:30:00,10.656729,3.3978748,18.216625,0.0
1974-10-28 18:30:00,10.750739,3.235375,18.679125,0.0
1974-10-29 18:30:00,11.346312,4.0666246,18.822876,0.0
1974-10-30 18:30:00,11.194749,4.097875,18.204124,0.1375
1974-10-31 18:30:00,9.9135,4.672875,15.941626,1.0625
1974-11-01 18:30:00,9.598657,3.810375,15.597876,0.56250006
1974-11-02 18:30:00,9.347614,3.1228747,15.935375,0.0375
1974-11-03 18:30:00,9.112719,2.7603748,15.679125,0.0
1974-11-04 18:30:00,9.230948,2.5666246,16.372875,0.0
1974-11-05 18:30:00,9.6684475,2.504125,17.191626,0.0
